Node_1,Node_2,Node_3,Node_4,Rain
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.000231107,0.001960121,0.000714486,9.9123135e-05,12
0.00163658,0.007762305,0.002650028,0.001453351,0
0.002974994,0.012610531,0.004001233,0.003302866,0
0.004156999,0.015493389,0.005305118,0.004919275,0
0.005265933,0.016811833,0.006598873,0.006427567,0
0.006320017,0.017174814,0.007839601,0.007860365,0
0.007322797,0.017024493,0.009055134,0.00922571,0
0.008294328,0.016614433,0.010226326,0.010507821,0
0.0092462,0.016256176,0.011366346,0.011609245,0
0.010193072,0.016101584,0.012486503,0.012393448,0
0.011153359,0.016155856,0.013584837,0.012832265,0
0.012144844,0.01641686,0.014703285,0.013177669,0
0.013188851,0.016869161,0.015850674,0.013495657,0
0.014311481,0.017483346,0.017022787,0.013803148,0
0.015535113,0.018225312,0.018224787,0.014115503,0
0.016892655,0.0198202,0.01979949,0.014466038,24
0.018837377,0.030235343,0.023507772,0.015697563,48
0.02321576,0.060097147,0.03473916,0.021771256,48
0.032953676,0.09279134,0.05568222,0.03399239,48
0.050421026,0.12040095,0.08522301,0.051714614,96
0.08269335,0.16756168,0.13058199,0.076417424,84
0.14033084,0.21420226,0.18985628,0.10596223,24
0.2253808,0.25769725,0.26155365,0.13655388,0
0.3161848,0.33600578,0.35448703,0.17904882,288.00003
0.3875914,0.43524283,0.47126544,0.25873873,108.00001
0.5071371,0.50048864,0.5711817,0.31741548,96
0.92950225,0.59254444,0.7124005,0.36130127,72.00001
1.4336004,0.6748848,0.8471801,0.57435495,48
2.843,0.7530787,1.4153551,0.5207278,48
1.801377,1.0956954,1.6859958,0.6412854,48
1.9333215,1.0396388,1.4713907,1.0381614,24
2.0133774,1.0359075,1.8392282,1.2551771,0
1.965838,1.1629772,1.8094512,1.2480395,24
1.9137336,1.088922,1.6640849,1.2104212,24
1.8994511,0.97115725,1.7040887,1.1437802,24
1.489867,1.2042229,1.187524,1.0518746,0
1.8837292,0.8980869,1.960986,0.9668779,24
1.7365158,0.79169244,1.5633595,0.8748508,12
1.7830486,0.68322587,1.5817164,0.7670145,12
1.7148577,0.59483075,1.4844704,0.68159026,12
1.6572813,0.5183508,1.4612889,0.56669706,24
1.6713796,0.45401928,1.3636693,0.46561825,12
1.6535276,0.39911175,1.3183527,0.3468053,24
1.5844074,0.36298805,1.2091225,0.29480094,12
1.5255955,0.332622,1.1293461,0.2844212,12
1.5191656,0.32721907,1.0381588,0.27785125,48
1.4874367,0.33055395,0.89623255,0.27889812,24
1.4533803,0.33560362,0.8026811,0.27842304,36.000004
1.42771,0.34609097,0.724186,0.28177446,24
1.4034523,0.35338137,0.6749486,0.2935029,24
1.3833008,0.3603963,0.6412611,0.30079797,12
1.3765597,0.36508492,0.63074404,0.29957902,24
1.3711501,0.36696497,0.618693,0.3021187,12
1.3651115,0.36233813,0.60832226,0.3024039,12
1.3554474,0.35389584,0.5913199,0.30396876,0
1.335383,0.34053397,0.57762223,0.30304074,0
1.3174636,0.3258186,0.55073047,0.2915753,0
1.3092623,0.31121352,0.5212506,0.27702165,12
1.2904192,0.29760805,0.48812598,0.26529527,0
1.261509,0.28244334,0.45864022,0.2535248,0
1.243819,0.26881322,0.43152034,0.24274568,0
1.2148068,0.25582922,0.40527067,0.23230809,0
1.1889886,0.24353361,0.38244557,0.220328,0
1.1562068,0.2320073,0.36488315,0.20901272,0
1.1262228,0.22183591,0.34876373,0.19928837,0
1.090177,0.2124377,0.33418155,0.19055337,0
1.0591124,0.2036918,0.3203666,0.18235646,0
1.0318853,0.1955701,0.30715203,0.17469719,0
1.0035459,0.1879684,0.2952638,0.16754913,0
0.979492,0.18091172,0.28389013,0.16095176,0
0.9528987,0.17438017,0.27351272,0.15470536,0
0.9315622,0.16820343,0.2636329,0.14866528,0
0.9105041,0.16241007,0.25429213,0.1430547,0
0.8950634,0.15787394,0.24572213,0.13792308,12
