Node_1,Node_2,Node_3,Node_4,Rain
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.000231107,0.001960121,0.000714486,9.9123135e-05,12
0.001715106,0.008615837,0.003398961,0.001551604,12
0.0036726,0.019483007,0.007253598,0.004677317,24
0.006815523,0.036243867,0.014007249,0.010220846,24
0.012591808,0.055301167,0.026106479,0.018051537,48
0.022396602,0.08187293,0.045077223,0.029861182,36.000004
0.037535623,0.10354837,0.07073221,0.045110982,60
0.062965095,0.13529776,0.106250085,0.06366966,72.00001
0.108390495,0.1782468,0.15260576,0.08627109,24
0.17444643,0.21483225,0.20962608,0.111714944,36.000004
0.24673016,0.26137254,0.27854687,0.1439561,48
0.3053922,0.30527994,0.3518782,0.18860988,48
0.36033943,0.33904094,0.39822617,0.22834314,48
0.4564955,0.35619947,0.43286407,0.24703132,12
0.6480579,0.35828426,0.47447774,0.2883507,12
0.92103255,0.35459906,0.5006398,0.36204848,12
0.9673465,0.34989086,0.50849885,0.32952043,0
1.0692978,0.33333078,0.49161652,0.3063833,0
1.1005931,0.31575546,0.47471324,0.30024514,24
1.1262158,0.29648408,0.45734698,0.29346186,24
1.1625196,0.28396204,0.4448696,0.27891603,36.000004
1.1923571,0.28146026,0.43576574,0.2699631,48
1.1916976,0.2898354,0.4344555,0.26659867,72.00001
1.1906071,0.30748364,0.44361603,0.2684188,48
1.193945,0.32907602,0.46302965,0.2750464,48
1.219691,0.35725686,0.49575305,0.28806028,48
1.2634912,0.38427266,0.5330448,0.31107894,96
1.3525819,0.43351078,0.58500624,0.33038986,108.00001
1.4648432,0.47458714,0.6477959,0.35290223,96
1.4758862,0.5334936,0.7566391,0.40308112,108.00001
1.7694618,0.5988312,1.7900915,0.4684591,96
2.476531,0.6776286,2.446,0.897224,84
2.6676137,2.0157964,2.446,1.065803,60
2.1859703,1.4759288,2.350925,1.5280982,24
2.2291203,1.2853856,2.274456,1.6306121,12
2.223264,1.5719086,2.3434603,1.7976934,60
2.1928217,1.6337192,2.358264,1.7949271,72.00001
2.2989554,1.6390107,2.3873591,1.846369,60
2.2727578,1.8002393,2.3531098,1.759716,48
2.2515378,1.9503161,2.3617277,1.7895498,60
2.2579453,2.1345382,2.4246166,1.9049624,96
2.1689057,1.6128372,2.284157,1.9371536,108.00001
2.2905402,2.4307516,2.3881426,1.8800207,120
2.5312765,2.3071716,2.446,1.2132926,60
2.3475618,2.46,2.401046,1.9706984,0
2.3386798,2.46,2.4106321,2.2406979,264
2.4065397,2.46,2.446,2.3216746,108.00001
2.408739,2.46,2.418243,2.2927165,108.00001
2.3841422,2.46,2.4432123,2.4160848,132
1.8612349,2.46,2.446,2.848,156
2.4131682,2.46,2.446,2.7724066,204.00002
