Node_1,Node_2,Node_3,Node_4,Rain
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.000231107,0.001960121,0.000714486,9.9123135e-05,12
0.00163658,0.007762305,0.002650028,0.001453351,0
0.002974994,0.012610531,0.004001233,0.003302866,0
0.004156999,0.015493389,0.005305118,0.004919275,0
0.005265933,0.016811833,0.006598873,0.006427567,0
0.006320017,0.017174814,0.007839601,0.007860365,0
0.007322797,0.017024493,0.009055134,0.00922571,0
0.008294328,0.016614433,0.010226326,0.010507821,0
0.0092462,0.016256176,0.011366346,0.011609245,0
0.010193072,0.016101584,0.012486503,0.012393448,0
0.011169,0.01648242,0.013749752,0.012843221,12
0.012358868,0.019347675,0.015499802,0.013464309,0
0.013827525,0.022741463,0.017567925,0.014434774,0
0.015491375,0.024877861,0.01993403,0.015502119,0
0.01731958,0.026182475,0.022479147,0.016596297,0
0.019339664,0.027191538,0.025078123,0.017681677,0
0.021705309,0.02828862,0.027678596,0.018742172,0
0.024539355,0.029890288,0.030359002,0.019803349,12
0.027921915,0.03371216,0.033444107,0.021136021,0
0.031704757,0.037509114,0.03685934,0.022847658,0
0.035512675,0.039912153,0.040489525,0.024719607,0
0.039242826,0.04164069,0.044112366,0.02663813,0
0.043013766,0.043291558,0.047436703,0.028492693,0
0.046948284,0.044986974,0.050429344,0.030204583,0
0.050986845,0.046670116,0.053146496,0.03175515,0
0.054840777,0.04824009,0.05567626,0.033174388,0
0.05839903,0.049564954,0.058021277,0.034485873,0
0.061672017,0.050560407,0.06019883,0.035699315,0
0.064761885,0.05121029,0.062080808,0.036814123,0
0.0677002,0.051524285,0.06356376,0.037835784,0
0.07044236,0.05155008,0.06467555,0.038782496,0
0.07295864,0.051334433,0.065508015,0.039711937,0
0.075095996,0.050918125,0.06614576,0.040664006,0
0.07684722,0.050338887,0.06665349,0.041622642,0
0.07832634,0.049629867,0.06706256,0.04257008,0
0.0796134,0.04882138,0.067365624,0.043474514,0
0.08069199,0.047948193,0.06753213,0.044286847,0
0.08152391,0.047025394,0.06752839,0.04494767,0
0.08177122,0.046065446,0.06734282,0.04541996,0
0.080832504,0.045098715,0.06699592,0.045699216,0
0.08066474,0.044142153,0.06651906,0.0458113,0
0.08077173,0.043205813,0.0659337,0.04575576,0
0.080903515,0.04229628,0.0652566,0.045542017,0
0.08101083,0.04168369,0.06460981,0.04519477,12
0.08119126,0.04260198,0.064186856,0.044860017,0
0.08141591,0.0434415,0.06397819,0.044677038,0
0.08166376,0.04341477,0.06402138,0.04457829,0
0.08207724,0.04307035,0.06422322,0.044468127,0
0.082732216,0.042786673,0.064470164,0.04431843,0
0.08357533,0.04270146,0.064742014,0.044179656,0
0.08449725,0.04281787,0.06507093,0.044107098,0
0.08536498,0.04307044,0.065434344,0.044108674,0
0.08610517,0.04337818,0.06575767,0.044145048,0
0.08671522,0.043674897,0.06597398,0.044159897,0
0.087663315,0.04391919,0.066056356,0.044109188,0
0.10510908,0.04408977,0.066010214,0.043973777,0
0.110013455,0.0441864,0.06585807,0.043756913,0
0.11343476,0.044213373,0.06562823,0.04347509,0
0.13805896,0.0441696,0.06534693,0.043149345,0
0.1364495,0.04404989,0.06503506,0.04280492,0
0.15507609,0.043848388,0.06470302,0.04246531,0
0.15258613,0.043560952,0.06435497,0.042150144,0
0.1742755,0.043465175,0.06410092,0.041878004,12
0.1811223,0.044803582,0.06413944,0.0417703,0
0.1813388,0.045952357,0.064437464,0.041956343,0
0.20036338,0.04615688,0.06500067,0.04233961,0
0.19687992,0.04600031,0.065697104,0.04278256,0
0.21242507,0.04588391,0.06637482,0.04321624,0
0.20852777,0.04594001,0.06701568,0.043660767,0
0.23442751,0.046150293,0.06768011,0.0441527,0
0.21688633,0.046437643,0.06833903,0.04467372,0
0.2492229,0.046732277,0.06890498,0.04515345,0
0.23845792,0.046989158,0.06931964,0.045513157,0
0.25721505,0.047178958,0.06956192,0.04571866,0
0.2545558,0.047286198,0.06962372,0.04577259,0
0.27789938,0.047308337,0.06951732,0.04568148,0
0.26062855,0.047242194,0.06928472,0.045473922,0
0.2953434,0.047087252,0.06897635,0.045192476,0
0.2797525,0.0468343,0.068627015,0.044893056,0
0.30319253,0.0464803,0.06825322,0.044602398,0
0.30248654,0.046035152,0.06785898,0.044335805,0
0.31036466,0.045516253,0.06743855,0.044102807,0
0.31560254,0.04493955,0.06698655,0.04390627,0
0.32563302,0.044318393,0.06651141,0.043741766,0
0.32403994,0.043661483,0.06601573,0.04359849,0
0.33235905,0.043276027,0.06560892,0.043464098,12
0.33668855,0.044507608,0.0654856,0.043434832,0
0.34421548,0.045592353,0.06561176,0.043631285,0
0.3505096,0.04568781,0.06601396,0.043948345,0
0.35240343,0.04541778,0.06653703,0.04424423,0
0.36587402,0.045201514,0.067002065,0.0444656,0
0.35687375,0.04519391,0.06743028,0.0446626,0
0.37710792,0.04537923,0.067916244,0.044897154,0
0.3733744,0.04601189,0.068563536,0.045181178,12
0.38372967,0.048524916,0.0695606,0.045648865,0
0.39045528,0.0506598,0.07081422,0.04639779,0
0.39296213,0.05157837,0.07221992,0.04718854,0
0.3973264,0.052139126,0.07360147,0.047807887,0
0.40884277,0.052814186,0.074780844,0.048237927,0
0.40795815,0.053682543,0.07584851,0.04860344,0
0.4247603,0.054661576,0.076937854,0.049025606,0
0.42176577,0.055548906,0.07799501,0.04953361,0
0.43498608,0.056210205,0.078918055,0.050067984,0
0.4360947,0.05660784,0.07960513,0.050544307,0
0.442385,0.056759726,0.08004532,0.050908405,0
0.45240045,0.056699816,0.080256365,0.051151473,0
