Node_1,Node_2,Node_3,Node_4,Rain
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.000231107,0.001960121,0.000714486,9.9123135e-05,12
0.001715106,0.008615837,0.003398961,0.001551604,12
0.0036726,0.019483007,0.007253598,0.004677317,24
0.006861437,0.03715611,0.014509116,0.010312734,36.000004
0.013434499,0.060698275,0.028242683,0.019467218,36.000004
0.023877239,0.08415637,0.04794635,0.03165183,48
0.040116195,0.10657008,0.07429168,0.047512304,36.000004
0.06598184,0.12945293,0.10791067,0.06491347,48
0.11014246,0.1675198,0.14924897,0.083243,48
0.17272809,0.21044444,0.20248438,0.10622902,36.000004
0.23273136,0.24949983,0.26857653,0.14047967,48
0.28718653,0.29132777,0.3295959,0.18010134,48
0.346332,0.32428825,0.3803353,0.21180941,36.000004
0.4305075,0.34362718,0.41787818,0.23989166,36.000004
0.592223,0.35835704,0.46385902,0.28267223,48
0.9296377,0.36711922,0.4976833,0.3408136,24
0.9648921,0.36805335,0.51705164,0.3404472,36.000004
1.1244707,0.3749693,0.525338,0.32274428,24
1.1312337,0.37130687,0.5279107,0.3370848,36.000004
1.3221335,0.37051234,0.52931654,0.33565545,24
1.2860615,0.36419052,0.53398603,0.32910606,12
1.3029702,0.35488373,0.5412014,0.32538795,12
1.3023123,0.34534034,0.5331535,0.32092348,0
1.2954938,0.32945594,0.5308414,0.309462,12
1.282994,0.31592157,0.5140873,0.29741442,12
1.2737753,0.2974832,0.4920649,0.28591615,0
1.2548358,0.2799089,0.46805578,0.2743746,0
1.2389779,0.2645025,0.44472274,0.263609,12
1.2195461,0.2521953,0.4210059,0.2512776,12
1.1988503,0.24198516,0.39979196,0.23925203,12
1.1746342,0.2344358,0.3842663,0.23031902,12
1.1489445,0.2301246,0.37313497,0.22372587,24
1.1285008,0.22870797,0.3648096,0.21958289,12
1.1074026,0.2271518,0.35932538,0.21653467,12
1.0916499,0.22893842,0.35605514,0.21430103,24
1.0773817,0.23133425,0.35474,0.21393494,0
1.0631667,0.2319607,0.35352778,0.21304487,24
1.0551027,0.23560025,0.3536956,0.21218756,12
1.046582,0.23614575,0.35376996,0.2138482,12
1.0383434,0.23653397,0.35399345,0.21472557,12
1.0351684,0.23625384,0.3547107,0.21557686,12
1.0294284,0.2362837,0.3536891,0.21856445,24
1.0283389,0.2374674,0.35436833,0.21914093,12
1.0280385,0.236787,0.3539788,0.21816596,12
1.0267844,0.23812069,0.35458225,0.218437,24
1.0286582,0.24040914,0.35651293,0.22089362,12
1.0293554,0.24037617,0.35699645,0.2226622,12
1.0310658,0.24240184,0.35852578,0.22114295,24
