Node_1,Node_2,Node_3,Node_4,Rain
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.000231107,0.001960121,0.000714486,9.9123135e-05,12
0.00163658,0.007762305,0.002650028,0.001453351,0
0.002974994,0.012610531,0.004001233,0.003302866,0
0.004193426,0.015959794,0.005686261,0.004954755,12
0.005703167,0.021325007,0.008508731,0.007182108,12
0.007933677,0.030298315,0.013190986,0.01074415,24
0.0116539,0.045493618,0.021870375,0.016346266,36.000004
0.018705564,0.067818254,0.036868423,0.025147744,36.000004
0.030105254,0.08754442,0.05680749,0.037169915,12
0.046670727,0.09568452,0.07893142,0.04980269,0
0.071073055,0.106271096,0.1021899,0.0596417,12
0.10698308,0.12765458,0.12687634,0.06802024,12
0.14362256,0.15032224,0.15742607,0.08077515,24
0.16789055,0.16850649,0.18874764,0.101392135,12
0.18683127,0.18038547,0.20867606,0.119777665,12
0.21230501,0.18919118,0.22328636,0.12810932,12
0.24731834,0.19382392,0.23696871,0.13523741,12
0.27715078,0.1947219,0.2531631,0.15104033,0
0.30006173,0.19271255,0.26774004,0.1743216,0
0.40692607,0.19015454,0.27313015,0.18671903,0
0.5279907,0.18602586,0.27175,0.1823442,0
0.62948626,0.18016818,0.2665875,0.17573397,0
0.6140553,0.17317036,0.26036045,0.17207165,0
0.6806648,0.16588579,0.25404733,0.16843101,12
0.76482874,0.16102624,0.24795794,0.16425821,24
0.77313894,0.15870453,0.24351887,0.16082612,0
0.7894726,0.15631662,0.24055393,0.1579489,36.000004
0.80941635,0.16680814,0.2427093,0.15710802,72.00001
0.82880473,0.1886783,0.25499153,0.16268118,24
0.85282844,0.19901757,0.27151534,0.17074075,12
0.8711379,0.21374096,0.28975534,0.17615303,0
0.8846465,0.22978197,0.31477356,0.18763186,0
0.89910966,0.23975874,0.32932556,0.20535152,12
0.909957,0.24555291,0.33473995,0.20792085,12
0.9206225,0.24517319,0.33464292,0.20094939,12
0.9302419,0.23783743,0.332516,0.20442411,12
0.9377964,0.22915652,0.33720055,0.21987611,24
0.9471438,0.22429886,0.3384289,0.23182522,0
0.9607138,0.21804169,0.33614632,0.22295414,0
0.9652474,0.21370217,0.33076242,0.2105308,0
0.9574842,0.2084959,0.32297218,0.20525281,0
0.96157837,0.20182414,0.31417432,0.19879732,0
