Node_1,Node_2,Node_3,Node_4,Rain
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.000231107,0.001960121,0.000714486,9.9123135e-05,12
0.00163658,0.007762305,0.002650028,0.001453351,0
0.003022376,0.01318862,0.004503536,0.003354101,12
0.004673874,0.02054634,0.007532813,0.005877362,12
0.007067984,0.03046041,0.01244946,0.00976563,24
0.010948394,0.044160735,0.020495303,0.015530405,12
0.016636511,0.054399088,0.030945975,0.022167448,12
0.023701534,0.060884103,0.042685617,0.029121367,12
0.03320789,0.06818403,0.056476686,0.036088336,12
0.047548626,0.07855608,0.071825765,0.04273083,0
0.06784447,0.08977818,0.08759564,0.049015798,0
0.09114058,0.10125811,0.10448612,0.055772334,0
0.111648016,0.11177012,0.121626444,0.06447486,12
0.12623046,0.1211218,0.13685116,0.07483565,0
0.1374048,0.12594746,0.14755562,0.083819225,0
0.14929639,0.12753585,0.15314813,0.08896827,0
0.16391125,0.12718001,0.15706958,0.09130904,0
0.17891908,0.12543173,0.16188592,0.09411646,12
0.18849565,0.12399386,0.16694023,0.1006508,0
0.19329722,0.12102801,0.17051482,0.110401616,0
0.19647413,0.117667876,0.17145225,0.117268346,0
0.22967803,0.11467402,0.17055854,0.118174404,0
0.2956471,0.11188011,0.16857529,0.11617665,0
0.34147623,0.1090447,0.16590127,0.113572165,0
0.3826396,0.10611437,0.1630526,0.1107427,0
0.42253804,0.1031415,0.15968274,0.10776798,0
0.43717593,0.100194,0.15633757,0.10481817,0
0.48263553,0.09764271,0.15303707,0.10202813,12
0.5020686,0.09652804,0.15002388,0.09959562,0
0.5065443,0.094757125,0.1474727,0.09768582,0
0.58171403,0.09256766,0.14514603,0.09600693,0
0.56507844,0.091138355,0.14327693,0.094484314,12
0.58183324,0.0916921,0.14236216,0.09353856,0
0.6227729,0.091437906,0.14171985,0.09306739,0
0.6294602,0.09066758,0.14086746,0.09234457,0
0.644741,0.09012392,0.14003196,0.09128079,0
0.65469855,0.08978275,0.13923097,0.09028055,0
0.67265993,0.08937504,0.13818058,0.08941725,0
0.68302864,0.08920352,0.13702302,0.08847132,12
0.6857088,0.090311736,0.13629122,0.08756768,0
0.68632686,0.0904394,0.13581535,0.08689505,0
0.6969417,0.08983433,0.13530947,0.086277544,0
0.69800013,0.08925757,0.13484032,0.085753486,0
0.69934005,0.088694796,0.13451485,0.0855733,0
0.703001,0.087957785,0.13391183,0.08564346,0
0.703521,0.086986125,0.13292143,0.08554309,0
0.70348704,0.085813545,0.13163489,0.08501701,0
0.70195097,0.08450758,0.13011655,0.08412412,0
0.7015348,0.08345199,0.12858224,0.08302925,12
